frame_index,frame_point_count,frame_mean_pixel_error,gt_individuals,pred_individuals
124,14,106.1790439819296,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
125,14,25.374620071273487,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
126,10,23.38364165888664,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
127,14,22.817408137858372,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
128,15,179.24379431983468,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
129,13,22.188549328968392,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
130,10,10.20703385640143,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
131,10,7.098524979668822,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
132,10,9.488586965169407,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
133,9,49.91049456652503,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
134,15,18.518889621652853,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
135,15,6.182866505948656,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
136,15,7.053480617687893,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
137,15,9.556956521707615,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
138,15,7.367412748142529,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
139,15,7.223278244287087,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
140,14,24.03513134199497,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
141,14,24.2621706273782,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
142,14,22.61938184480793,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
143,15,6.558837054617616,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
144,15,6.828058693244472,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
145,15,7.599092314227224,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
146,15,26.083472696775225,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
147,15,182.93266531613006,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
148,10,8.001963693611795,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
149,10,7.920755839088645,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
